,Values
0,148.4131591025766
1,121.01546742028926
2,98.67550454086953
3,80.45959251290459
4,65.60641425108047
5,53.49519499734032
6,43.61975761777491
7,35.56736740053064
8,29.001482192758264
9,23.64768693463453
10,19.282224737400533
11,15.72264517249992
12,12.820178925767504
13,10.453520122438803
14,8.5237564610426
15,6.95023526584222
16,5.667192683335804
17,4.621005143221287
18,3.7679482111958893
19,3.0723691669291933
20,2.5051969318074176
21,2.0427270702661424
22,1.665631084973269
23,1.3581486002766736
24,1.1074286719757576
25,0.9029926940720302
26,0.7362964551863369
27,0.6003730411984042
28,0.48954165955695306
29,0.39917021584348367
30,0.3254817196982518
31,0.2653964290243296
32,0.21640313503371336
33,0.17645420861381114
34,0.14388002157489863
35,0.11731916609425073
36,0.0956615559435782
37,0.07800203146853764
38,0.06360252928362677
39,0.05186123560007895
40,0.04228743397881315
41,0.03448099629368951
42,0.028115659748972045
43,0.022925391029511445
44,0.018693267685999035
45,0.015242412063139546
46,0.012428598862710038
47,0.010134227381485734
48,0.008263406499327719
49,0.006737946999085467
50,54.598150033144236
51,46.37380228602078
52,39.388322446043524
53,33.45509465763974
54,28.415613792256373
55,24.13525101194963
56,20.499657183845784
57,17.41170806332765
58,14.788909637057365
59,12.561194310034212
60,10.669049062215446
61,9.061925568736013
62,7.696889810370731
63,6.537475098821861
64,5.552707875605838
65,4.716280258929253
66,4.005847233290456
67,3.402429706351663
68,2.8899074858516647
69,2.4545886315272774
70,2.084843677356463
71,1.7707949524351554
72,1.504052700750132
73,1.2774909503344114
74,1.0850571441894166
75,0.9216104472977248
76,0.7827844101269202
77,0.6648703197043963
78,0.5647181220077594
79,0.4796522688300443
80,0.4074002409836746
81,0.346031838353226
82,0.293907614941522
83,0.24963508136045096
84,0.2120315047238165
85,0.18009231214795252
86,0.15296425376522108
87,0.12992260830505953
88,0.11035182229371188
89,0.09372906565229996
90,0.0796102643839507
91,0.06761823721569352
92,0.05743261926761737
93,0.04878130356189681
94,0.041433171733117245
95,0.03519191974211424
96,0.029890813648367372
97,0.025388235342336807
98,0.021563899242772386
99,0.01831563888873418
100,20.085536923187668
101,17.770699765130956
102,15.722645172499927
103,13.91062673319063
104,12.307441526990214
105,10.889021741836384
106,9.634073355876593
107,8.5237564610426
108,7.54140242899933
109,6.672263673422753
110,5.903292251913961
111,5.222943983811504
112,4.621005143221287
113,4.088439125493832
114,3.617250785229937
115,3.2003664091895088
116,2.8315275221973533
117,2.5051969318074176
118,2.216475601221394
119,1.961029102516639
120,1.7350225460627982
121,1.5350630092552102
122,1.358148600276674
123,1.2016233922074937
124,1.0631375509322782
125,0.9406120582638515
126,0.8322075006903012
127,0.7362964551863366
128,0.6514390575310557
129,0.5763613863515786
130,0.5099363383830838
131,0.4511667078351542
132,0.39917021584348367
133,0.3531662652616456
134,0.31246422194927653
135,0.27645304662956444
136,0.24459212166433147
137,0.21640313503371336
138,0.19146289967870544
139,0.16939700040698158
140,0.14987417298618502
141,0.13260133104084862
142,0.11731916609425083
143,0.10379825470085506
144,0.09183561422767024
145,0.08125165557821265
146,0.07188748711185018
147,0.06360252928362682
148,0.056272404194356224
149,0.049787068367863944
150,7.38905609893065
151,6.809831296443457
152,6.276011667137301
153,5.784037919796147
154,5.33062977445033
155,4.912764090809738
156,4.527654711199363
157,4.172733883598096
158,3.8456351409172145
159,3.5441775223645626
160,3.266351031688947
161,3.0103032353462353
162,2.774326911229232
163,2.556848665608088
164,2.356418442383661
165,2.171699854705814
166,2.001461274491829
167,1.8445676204334889
168,1.6999727897386077
169,1.5667126831449592
170,1.4438987767002447
171,1.3307121974473501
172,1.2263982635139907
173,1.130261452202282
174,1.041660762527521
175,0.9600054412854777
176,0.8847510441513591
177,0.815395805547463
178,0.751477293075286
179,0.6925693242051978
180,0.6382791246654356
181,0.5882447095837122
182,0.5421324699199652
183,0.4996349480975595
184,0.46046878800176727
185,0.4243728456769501
186,0.3911064481253423
187,0.3604477885978211
188,0.33219244767711364
189,0.3061520302926309
190,0.2821529095790981
191,0.2600350692035471
192,0.23965103644177585
193,0.22086489889046837
194,0.20355139825881138
195,0.18759509519738046
196,0.17288959959571706
197,0.15933686121653334
198,0.1468465159367848
199,0.1353352832366127
200,2.718281828459045
201,2.6095653462681208
202,2.505196931807418
203,2.4050026860268052
204,2.3088156648919225
205,2.2164756012213935
206,2.1278286376490385
207,2.042727070266142
208,1.961029102516639
209,1.8825986089351503
210,1.8073049083342154
211,1.7350225460627984
212,1.6656310849732698
213,1.599014904748573
214,1.53506300925521
215,1.4736688416010613
216,1.4147301065898856
217,1.358148600276674
218,1.3038300463398624
219,1.2516839389977643
220,1.201623392207494
221,1.1535649948951079
222,1.107428671975758
223,1.063137550932278
224,1.0206178337299034
225,0.9797986738537043
226,0.9406120582638515
227,0.9029926940720302
228,0.8668778997501817
229,0.8322075006903012
230,0.7989237289412773
231,0.7669711269557102
232,0.7362964551863368
233,0.7068486033780922
234,0.678578505408009
235,0.6514390575310557
236,0.6253850398956968
237,0.6003730411984045
238,0.5763613863515786
239,0.553310067044357
240,0.5311806750806152
241,0.5099363383830839
242,0.48954165955695317
243,0.4699626569105979
244,0.4511667078351542
245,0.4331224944486034
246,0.4157999514137984
247,0.39917021584348367
248,0.3832055792088429
249,0.36787944117144233
250,2.718281828459045
251,2.5568486656080878
252,2.4050026860268052
253,2.262174526633764
254,2.1278286376490385
255,2.0014612744918288
256,1.8825986089351503
257,1.770794952435155
258,1.6656310849732698
259,1.5667126831449592
260,1.473668841601061
261,1.3861506822976797
262,1.3038300463398624
263,1.2263982635139905
264,1.1535649948951079
265,1.0850571441894163
266,1.0206178337299034
267,0.9600054412854777
268,0.9029926940720302
269,0.8493658165683124
270,0.7989237289412772
271,0.751477293075286
272,0.7068486033780922
273,0.6648703197043959
274,0.6253850398956968
275,0.5882447095837121
276,0.5533100670443569
277,0.5204501210207021
278,0.48954165955695317
279,0.46046878800176727
280,0.4331224944486033
281,0.40740024098367433
282,0.3832055792088429
283,0.3604477885978211
284,0.33904153632964995
285,0.31890655732397044
286,0.2999673532783388
287,0.282152909579098
288,0.26539642902432975
289,0.24963508136045096
290,0.23480976769331768
291,0.22086489889046837
292,0.20774818714360088
293,0.19541044990972617
294,0.18380542549585277
295,0.17288959959571706
296,0.16262204212814052
297,0.15296425376522102
298,0.14388002157489863
299,0.1353352832366127
300,13.7785831249408
301,12.698486156905574
302,11.703057507069712
303,10.785660063841515
304,9.940176995838184
305,9.160970967352984
306,8.442846550903655
307,7.781015586244371
308,7.1710652548692435
309,6.608928657141217
310,6.090857695866669
311,5.6133980855144685
312,5.1733663204511835
313,4.767828448625999
314,4.394080509177025
315,4.0496305035248525
316,3.7321817797440495
317,3.4396177194263324
318,3.1699876249336825
319,2.9214937129433833
320,2.6924791275632423
321,2.481416893093348
322,2.286899732775891
323,2.107630685648636
324,1.9424144589390497
325,1.7901494583403863
326,1.6498204430308634
327,1.5204917564626044
328,1.401301087786004
329,1.2914537223132478
330,1.1902172426854238
331,1.0969166454127781
332,1.0109298402271902
333,0.9316835022383982
334,0.8586492492378414
335,0.7913401186619424
336,0.7293073207246674
337,0.6721372460705659
338,0.6194487079965554
339,0.5708904008547031
340,0.5261385576896803
341,0.484894791492966
342,0.44688410568016934
343,0.4118530605261448
344,0.3795680833324372
345,0.3498139110599475
346,0.32239215504292473
347,0.2971199782143873
348,0.2738288760232517
349,14.950550056524747
350,13.500237473400025
351,12.190615806717664
352,11.008037009705058
353,9.940176995838184
354,8.97590720502474
355,8.105178628805836
356,7.3189170859604245
357,6.608928657141215
358,5.96781429304179
359,5.3888927061953735
360,4.866130742832473
361,4.394080509177025
362,3.9678225969511596
363,3.582914816420806
364,3.235345902710416
365,2.921493712943383
366,2.6380874785652435
367,2.382173719467318
